title,stem,tokens,tokens_clean,merged
"gempa 3,1 sr getarkan sintang, kalimantan barat   kumparan.com",gempa 3 1 sr getar sintang kalimantan barat kumpar com,"['gempa', '3', '1', 'sr', 'getar', 'sintang', 'kalimantan', 'barat', 'kumpar', 'com']","['gempa', '3', '1', 'sr', 'getar', 'sintang', 'kalimantan', 'barat', 'kumpar', 'com']",gempa 3 1 sr getar sintang kalimantan barat kumpar com
ini 3 gempa bumi yang dikatakan paling dahsyat dalam sejarah,ini 3 gempa bumi yang kata paling dahsyat dalam sejarah,"['ini', '3', 'gempa', 'bumi', 'yang', 'kata', 'paling', 'dahsyat', 'dalam', 'sejarah']","['3', 'gempa', 'bumi', 'dahsyat', 'sejarah']",3 gempa bumi dahsyat sejarah
"uma panggung, bangunan tradisional dompu yang tahan gempa   kumparan.com",uma panggung bangun tradisional dompu yang tahan gempa kumpar com,"['uma', 'panggung', 'bangun', 'tradisional', 'dompu', 'yang', 'tahan', 'gempa', 'kumpar', 'com']","['uma', 'panggung', 'bangun', 'tradisional', 'dompu', 'tahan', 'gempa', 'kumpar', 'com']",uma panggung bangun tradisional dompu tahan gempa kumpar com
rsu anutapura jadi contoh bangunan tahan gempa di palu,rsu anutapura jadi contoh bangun tahan gempa di palu,"['rsu', 'anutapura', 'jadi', 'contoh', 'bangun', 'tahan', 'gempa', 'di', 'palu']","['rsu', 'anutapura', 'contoh', 'bangun', 'tahan', 'gempa', 'palu']",rsu anutapura contoh bangun tahan gempa palu
"gempa 5,3 sr guncang gorontalo, warga panik berhamburan",gempa 5 3 sr guncang gorontalo warga panik hambur,"['gempa', '5', '3', 'sr', 'guncang', 'gorontalo', 'warga', 'panik', 'hambur']","['gempa', '5', '3', 'sr', 'guncang', 'gorontalo', 'warga', 'panik', 'hambur']",gempa 5 3 sr guncang gorontalo warga panik hambur
"gempa hari ini   bmkg catat gempa mengguncang klaten, jawa tengah sore hari ini",gempa hari ini bmkg catat gempa guncang klaten jawa tengah sore hari ini,"['gempa', 'hari', 'ini', 'bmkg', 'catat', 'gempa', 'guncang', 'klaten', 'jawa', 'tengah', 'sore', 'hari', 'ini']","['gempa', 'bmkg', 'catat', 'gempa', 'guncang', 'klaten', 'jawa', 'sore']",gempa bmkg catat gempa guncang klaten jawa sore
2 gempa di daratan mengguncang boyolali dan klaten,2 gempa di darat guncang boyolali dan klaten,"['2', 'gempa', 'di', 'darat', 'guncang', 'boyolali', 'dan', 'klaten']","['2', 'gempa', 'darat', 'guncang', 'boyolali', 'klaten']",2 gempa darat guncang boyolali klaten
rekonstruksi rsu anutapura di palu dirancang tahan gempa,rekonstruksi rsu anutapura di palu rancang tahan gempa,"['rekonstruksi', 'rsu', 'anutapura', 'di', 'palu', 'rancang', 'tahan', 'gempa']","['rekonstruksi', 'rsu', 'anutapura', 'palu', 'rancang', 'tahan', 'gempa']",rekonstruksi rsu anutapura palu rancang tahan gempa
"warga panik setelah gempa bermagnitudo 6,9, situasi kota luwuk di banggai kacau",warga panik telah gempa magnitudo 6 9 situasi kota luwuk di bangga kacau,"['warga', 'panik', 'telah', 'gempa', 'magnitudo', '6', '9', 'situasi', 'kota', 'luwuk', 'di', 'bangga', 'kacau']","['warga', 'panik', 'gempa', 'magnitudo', '6', '9', 'situasi', 'kota', 'luwuk', 'bangga', 'kacau']",warga panik gempa magnitudo 6 9 situasi kota luwuk bangga kacau
"banggai diguncang gempa, warga selamatkan diri   antara news",bangga guncang gempa warga selamat diri antara news,"['bangga', 'guncang', 'gempa', 'warga', 'selamat', 'diri', 'antara', 'news']","['bangga', 'guncang', 'gempa', 'warga', 'selamat', 'news']",bangga guncang gempa warga selamat news
