published date,title,stem,tokens,tokens_clean,merged
2018-01-18 08:00:00+00:00,"truk pengangkut motor terguling di tol tomang, lalin macet",truk angkut motor guling di tol tomang lalin macet,"['truk', 'angkut', 'motor', 'guling', 'di', 'tol', 'tomang', 'lalin', 'macet']","['truk', 'angkut', 'motor', 'guling', 'tol', 'tomang', 'lalin', 'macet']",truk angkut motor guling tol tomang lalin macet
2018-01-18 08:00:00+00:00,ini penyebab kecelakaan bus sempati star hingga terjun ke jurang di subulussalam,ini sebab celaka bus sempat star hingga terjun ke jurang di subulussalam,"['ini', 'sebab', 'celaka', 'bus', 'sempat', 'star', 'hingga', 'terjun', 'ke', 'jurang', 'di', 'subulussalam']","['celaka', 'bus', 'star', 'terjun', 'jurang', 'subulussalam']",celaka bus star terjun jurang subulussalam
2018-01-18 08:00:00+00:00,aktor jang gwang alami kecelakaan mobil saat shooting 'hwayugi',aktor jang gwang alami celaka mobil saat shooting hwayugi,"['aktor', 'jang', 'gwang', 'alami', 'celaka', 'mobil', 'saat', 'shooting', 'hwayugi']","['aktor', 'jang', 'gwang', 'alami', 'celaka', 'mobil', 'shooting', 'hwayugi']",aktor jang gwang alami celaka mobil shooting hwayugi
2018-01-18 08:00:00+00:00,"dalam sehari, dua bus sempati star alami kecelakaan, dua orang tewas",dalam hari dua bus sempat star alami celaka dua orang tewas,"['dalam', 'hari', 'dua', 'bus', 'sempat', 'star', 'alami', 'celaka', 'dua', 'orang', 'tewas']","['bus', 'star', 'alami', 'celaka', 'orang', 'tewas']",bus star alami celaka orang tewas
2018-01-18 08:00:00+00:00,"jumlah kecelakaan minim, kereta jadi transportasi paling aman di 2017",jumlah celaka minim kereta jadi transportasi paling aman di 2017,"['jumlah', 'celaka', 'minim', 'kereta', 'jadi', 'transportasi', 'paling', 'aman', 'di', '2017']","['celaka', 'minim', 'kereta', 'transportasi', 'aman', '2017']",celaka minim kereta transportasi aman 2017
2018-01-18 08:00:00+00:00,"kecelakaan di cikarang, satu orang tewas",celaka di cikarang satu orang tewas,"['celaka', 'di', 'cikarang', 'satu', 'orang', 'tewas']","['celaka', 'cikarang', 'orang', 'tewas']",celaka cikarang orang tewas
2018-01-19 08:00:00+00:00,"tabrak separator busway, minibus terbalik di depan wtc mangga dua",tabrak separator busway minibus balik di depan wtc mangga dua,"['tabrak', 'separator', 'busway', 'minibus', 'balik', 'di', 'depan', 'wtc', 'mangga', 'dua']","['tabrak', 'separator', 'busway', 'minibus', 'wtc', 'mangga']",tabrak separator busway minibus wtc mangga
2018-01-19 08:00:00+00:00,bus terbaik di indonesia “sempati star” terlibat 12 kali kecelakaan maut,bus baik di indonesia sempat star libat 12 kali celaka maut,"['bus', 'baik', 'di', 'indonesia', 'sempat', 'star', 'libat', '12', 'kali', 'celaka', 'maut']","['bus', 'indonesia', 'star', 'libat', '12', 'kali', 'celaka', 'maut']",bus indonesia star libat 12 kali celaka maut
2018-01-21 08:00:00+00:00,"sinta tewas kecelakaan di amerika, butuh rp 325 juta biaya pemulangan jenazahnya ke bali",sinta tewas celaka di amerika butuh rp 325 juta biaya pulang jenazah ke bal,"['sinta', 'tewas', 'celaka', 'di', 'amerika', 'butuh', 'rp', '325', 'juta', 'biaya', 'pulang', 'jenazah', 'ke', 'bal']","['sinta', 'tewas', 'celaka', 'amerika', 'butuh', 'rp', '325', 'juta', 'biaya', 'pulang', 'jenazah', 'bal']",sinta tewas celaka amerika butuh rp 325 juta biaya pulang jenazah bal
2018-01-21 08:00:00+00:00,begini cerita kecelakaan harley-davidson vs mazda cx-5 yang viral,begini cerita celaka harley-davidson vs mazda cx-5 yang viral,"['begini', 'cerita', 'celaka', 'harley-davidson', 'vs', 'mazda', 'cx-5', 'yang', 'viral']","['cerita', 'celaka', 'harley-davidson', 'vs', 'mazda', 'cx-5', 'viral']",cerita celaka harley-davidson vs mazda cx-5 viral
