published date,title,stem,tokens,tokens_clean,merged
2022-08-11 07:00:00+00:00,pemkab parigi: sekolah optimalkan layanan pendidikan korban banjir,pemkab parigi sekolah optimal layan didik korban banjir,"['pemkab', 'parigi', 'sekolah', 'optimal', 'layan', 'didik', 'korban', 'banjir']","['pemkab', 'parigi', 'sekolah', 'optimal', 'layan', 'didik', 'korban', 'banjir']",pemkab parigi sekolah optimal layan didik korban banjir
2022-08-11 07:00:00+00:00,"hujan semalaman, banjir dan longsor melanda wilayah cilacap",hujan malam banjir dan longsor landa wilayah cilacap,"['hujan', 'malam', 'banjir', 'dan', 'longsor', 'landa', 'wilayah', 'cilacap']","['hujan', 'malam', 'banjir', 'longsor', 'landa', 'wilayah', 'cilacap']",hujan malam banjir longsor landa wilayah cilacap
2022-08-11 07:00:00+00:00,"banjir makan korban, korsel akan larang rumah gaya film parasite",banjir makan korban korsel akan larang rumah gaya film parasite,"['banjir', 'makan', 'korban', 'korsel', 'akan', 'larang', 'rumah', 'gaya', 'film', 'parasite']","['banjir', 'makan', 'korban', 'korsel', 'larang', 'rumah', 'gaya', 'film', 'parasite']",banjir makan korban korsel larang rumah gaya film parasite
2022-08-12 07:00:00+00:00,korut masa bodoh dituduh diam-diam buka dam 'kirim banjir' ke korsel,korut masa bodoh tuduh diam buka dam kirim banjir ke korsel,"['korut', 'masa', 'bodoh', 'tuduh', 'diam', 'buka', 'dam', 'kirim', 'banjir', 'ke', 'korsel']","['korut', 'bodoh', 'tuduh', 'diam', 'buka', 'dam', 'kirim', 'banjir', 'korsel']",korut bodoh tuduh diam buka dam kirim banjir korsel
2022-08-12 07:00:00+00:00,"jalan sekitar stasiun tanjung barat terendam banjir, lalin macet",jalan sekitar stasiun tanjung barat rendam banjir lalin macet,"['jalan', 'sekitar', 'stasiun', 'tanjung', 'barat', 'rendam', 'banjir', 'lalin', 'macet']","['jalan', 'stasiun', 'tanjung', 'barat', 'rendam', 'banjir', 'lalin', 'macet']",jalan stasiun tanjung barat rendam banjir lalin macet
2022-08-12 07:00:00+00:00,banjir genangi 82 rumah warga di kabupaten bogor,banjir genang 82 rumah warga di kabupaten bogor,"['banjir', 'genang', '82', 'rumah', 'warga', 'di', 'kabupaten', 'bogor']","['banjir', 'genang', '82', 'rumah', 'warga', 'kabupaten', 'bogor']",banjir genang 82 rumah warga kabupaten bogor
2022-08-12 07:00:00+00:00,banjir di jalan tanjung barat surut usai sempat terendam hingga 30 cm,banjir di jalan tanjung barat surut usai sempat rendam hingga 30 cm,"['banjir', 'di', 'jalan', 'tanjung', 'barat', 'surut', 'usai', 'sempat', 'rendam', 'hingga', '30', 'cm']","['banjir', 'jalan', 'tanjung', 'barat', 'surut', 'rendam', '30', 'cm']",banjir jalan tanjung barat surut rendam 30 cm
2022-08-13 07:00:00+00:00,bpbd garut: banjir di banjarwangi tidak menerjang rumah warga,bpbd garut banjir di banjarwangi tidak terjang rumah warga,"['bpbd', 'garut', 'banjir', 'di', 'banjarwangi', 'tidak', 'terjang', 'rumah', 'warga']","['bpbd', 'garut', 'banjir', 'banjarwangi', 'terjang', 'rumah', 'warga']",bpbd garut banjir banjarwangi terjang rumah warga
2022-08-13 07:00:00+00:00,4 rt di jati padang langganan banjir akibat luapan kali pulo saat hujan lebih dari 1 jam,4 rt di jati padang langgan banjir akibat luap kali pulo saat hujan lebih dari 1 jam,"['4', 'rt', 'di', 'jati', 'padang', 'langgan', 'banjir', 'akibat', 'luap', 'kali', 'pulo', 'saat', 'hujan', 'lebih', 'dari', '1', 'jam']","['4', 'rt', 'jati', 'padang', 'langgan', 'banjir', 'akibat', 'luap', 'kali', 'pulo', 'hujan', '1', 'jam']",4 rt jati padang langgan banjir akibat luap kali pulo hujan 1 jam
2022-08-14 07:00:00+00:00,banjir bandang di kota wisata pengzhou china tewaskan tujuh orang,banjir bandang di kota wisata pengzhou china tewas tujuh orang,"['banjir', 'bandang', 'di', 'kota', 'wisata', 'pengzhou', 'china', 'tewas', 'tujuh', 'orang']","['banjir', 'bandang', 'kota', 'wisata', 'pengzhou', 'china', 'tewas', 'tujuh', 'orang']",banjir bandang kota wisata pengzhou china tewas tujuh orang
