published date,title,stem,tokens,tokens_clean,merged
2020-11-18 08:00:00+00:00,"sebuah restoran di sanur terbakar, diduga kebakaran terjadi akibat korsleting listrik",buah restoran di sanur bakar duga bakar jadi akibat korsleting listrik,"['buah', 'restoran', 'di', 'sanur', 'bakar', 'duga', 'bakar', 'jadi', 'akibat', 'korsleting', 'listrik']","['buah', 'restoran', 'sanur', 'bakar', 'duga', 'bakar', 'akibat', 'korsleting', 'listrik']",buah restoran sanur bakar duga bakar akibat korsleting listrik
2020-11-18 08:00:00+00:00,pemkab karo akan berikan satu orang per satu tps bagi pedagang korban kebakaran di berastagi,pemkab karo akan ikan satu orang per satu tps bagi dagang korban bakar di berastagi,"['pemkab', 'karo', 'akan', 'ikan', 'satu', 'orang', 'per', 'satu', 'tps', 'bagi', 'dagang', 'korban', 'bakar', 'di', 'berastagi']","['pemkab', 'karo', 'ikan', 'orang', 'tps', 'dagang', 'korban', 'bakar', 'berastagi']",pemkab karo ikan orang tps dagang korban bakar berastagi
2020-11-18 08:00:00+00:00,"kebakaran di mambunut, manan dan keluarga selamat dari kepungan api",bakar di mambunut man dan keluarga selamat dari kepung api,"['bakar', 'di', 'mambunut', 'man', 'dan', 'keluarga', 'selamat', 'dari', 'kepung', 'api']","['bakar', 'mambunut', 'man', 'keluarga', 'selamat', 'kepung', 'api']",bakar mambunut man keluarga selamat kepung api
2020-11-18 08:00:00+00:00,pembakaran hutan di cagar alam cycloop kembali terjadi,bakar hutan di cagar alam cycloop kembali jadi,"['bakar', 'hutan', 'di', 'cagar', 'alam', 'cycloop', 'kembali', 'jadi']","['bakar', 'hutan', 'cagar', 'alam', 'cycloop']",bakar hutan cagar alam cycloop
2020-11-19 08:00:00+00:00,pabrik gorden di neglasari tangerang ludes terbakar,pabrik gorden di neglasari tangerang ludes bakar,"['pabrik', 'gorden', 'di', 'neglasari', 'tangerang', 'ludes', 'bakar']","['pabrik', 'gorden', 'neglasari', 'tangerang', 'ludes', 'bakar']",pabrik gorden neglasari tangerang ludes bakar
2020-11-20 08:00:00+00:00,toko parfum sari wangi kediri terbakar,toko parfum sari wangi diri bakar,"['toko', 'parfum', 'sari', 'wangi', 'diri', 'bakar']","['toko', 'parfum', 'sari', 'wangi', 'bakar']",toko parfum sari wangi bakar
2020-11-20 08:00:00+00:00,rumah bekas kebakaran milik liam hemsworth dan miley cyrus dijual murah,rumah bekas bakar milik liam hemsworth dan miley cyrus jual murah,"['rumah', 'bekas', 'bakar', 'milik', 'liam', 'hemsworth', 'dan', 'miley', 'cyrus', 'jual', 'murah']","['rumah', 'bekas', 'bakar', 'milik', 'liam', 'hemsworth', 'miley', 'cyrus', 'jual', 'murah']",rumah bekas bakar milik liam hemsworth miley cyrus jual murah
2020-11-20 08:00:00+00:00,kebakaran lotte shopping avenue kuningan berhasil dijinakkan,bakar lotte shopping avenue kuningan hasil jinak,"['bakar', 'lotte', 'shopping', 'avenue', 'kuningan', 'hasil', 'jinak']","['bakar', 'lotte', 'shopping', 'avenue', 'kuningan', 'hasil', 'jinak']",bakar lotte shopping avenue kuningan hasil jinak
2020-11-20 08:00:00+00:00,"sebuah rumah di semarang kebakaran, 5 mobil damkar dikerahkan",buah rumah di semarang bakar 5 mobil damkar kerah,"['buah', 'rumah', 'di', 'semarang', 'bakar', '5', 'mobil', 'damkar', 'kerah']","['buah', 'rumah', 'semarang', 'bakar', '5', 'mobil', 'damkar', 'kerah']",buah rumah semarang bakar 5 mobil damkar kerah
2020-11-20 08:00:00+00:00,"pasar anyar kebakaran, begini kondisinya…",pasar anyar bakar begini kondisi,"['pasar', 'anyar', 'bakar', 'begini', 'kondisi']","['pasar', 'anyar', 'bakar', 'kondisi']",pasar anyar bakar kondisi
2020-11-20 08:00:00+00:00,"kebakaran di lantai 5 lotte shopping avenue, 7 unit damkar dikerahkan",bakar di lantai 5 lotte shopping avenue 7 unit damkar kerah,"['bakar', 'di', 'lantai', '5', 'lotte', 'shopping', 'avenue', '7', 'unit', 'damkar', 'kerah']","['bakar', 'lantai', '5', 'lotte', 'shopping', 'avenue', '7', 'unit', 'damkar', 'kerah']",bakar lantai 5 lotte shopping avenue 7 unit damkar kerah
2020-11-21 08:00:00+00:00,pramuka sman 1 pringgabaya galang bantuan korban kebakaran baturotok | suarantb.com,pramuka sman 1 pringgabaya galang bantu korban bakar baturotok suarantb com,"['pramuka', 'sman', '1', 'pringgabaya', 'galang', 'bantu', 'korban', 'bakar', 'baturotok', 'suarantb', 'com']","['pramuka', 'sman', '1', 'pringgabaya', 'galang', 'bantu', 'korban', 'bakar', 'baturotok', 'suarantb', 'com']",pramuka sman 1 pringgabaya galang bantu korban bakar baturotok suarantb com
2020-11-21 08:00:00+00:00,breaking news: kebakaran di alak kupang hanguskan toko dan gudang mebel,breaking news bakar di alak kupang hangus toko dan gudang mebel,"['breaking', 'news', 'bakar', 'di', 'alak', 'kupang', 'hangus', 'toko', 'dan', 'gudang', 'mebel']","['breaking', 'news', 'bakar', 'alak', 'kupang', 'hangus', 'toko', 'gudang', 'mebel']",breaking news bakar alak kupang hangus toko gudang mebel
2020-11-21 08:00:00+00:00,"kebakaran kembali terjadi di sumbawa, kini di pusat pertokoan – pulau sumbawa news",bakar kembali jadi di sumbawa kini di pusat toko pulau sumbawa news,"['bakar', 'kembali', 'jadi', 'di', 'sumbawa', 'kini', 'di', 'pusat', 'toko', 'pulau', 'sumbawa', 'news']","['bakar', 'sumbawa', 'pusat', 'toko', 'pulau', 'sumbawa', 'news']",bakar sumbawa pusat toko pulau sumbawa news
2020-11-22 08:00:00+00:00,14 rumah di kompleks asrama brimob polda sumatera utara terbakar,14 rumah di kompleks asrama brimob polda sumatera utara bakar,"['14', 'rumah', 'di', 'kompleks', 'asrama', 'brimob', 'polda', 'sumatera', 'utara', 'bakar']","['14', 'rumah', 'kompleks', 'asrama', 'brimob', 'polda', 'sumatera', 'utara', 'bakar']",14 rumah kompleks asrama brimob polda sumatera utara bakar
2020-11-22 08:00:00+00:00,asrama brimob sumut kebakaran,asrama brimob sumut bakar,"['asrama', 'brimob', 'sumut', 'bakar']","['asrama', 'brimob', 'sumut', 'bakar']",asrama brimob sumut bakar
2020-11-22 08:00:00+00:00,"kebakaran di asrama brimob polda sumut, personel bahu-membahu evakuasi barang yang bisa digunakan",bakar di asrama brimob polda sumut personel bahu evakuasi barang yang bisa guna,"['bakar', 'di', 'asrama', 'brimob', 'polda', 'sumut', 'personel', 'bahu', 'evakuasi', 'barang', 'yang', 'bisa', 'guna']","['bakar', 'asrama', 'brimob', 'polda', 'sumut', 'personel', 'bahu', 'evakuasi', 'barang']",bakar asrama brimob polda sumut personel bahu evakuasi barang
